11111 h  abandon
11111 t  ability
11112 h  able
11112 t  about
11113 h  above
11113 t  absent
11114 h  absorb
11114 t  abstract
11121 h  absurd
11121 t  abuse
11122 h  access
11122 t  accident
11123 h  account
11123 t  accuse
11124 h  achieve
11124 t  acid
11131 h  acoustic
11131 t  acquire
11132 h  across
11132 t  act
11133 h  action
11133 t  actor
11134 h  actress
11134 t  actual
11141 h  adapt
11141 t  add
11142 h  addict
11142 t  address
11143 h  adjust
11143 t  admit
11144 h  adult
11144 t  advance
11211 h  advice
11211 t  aerobic
11212 h  affair
11212 t  afford
11213 h  afraid
11213 t  again
11214 h  age
11214 t  agent
11221 h  agree
11221 t  ahead
11222 h  aim
11222 t  air
11223 h  airport
11223 t  aisle
11224 h  alarm
11224 t  album
11231 h  alcohol
11231 t  alert
11232 h  alien
11232 t  all
11233 h  alley
11233 t  allow
11234 h  almost
11234 t  alone
11241 h  alpha
11241 t  already
11242 h  also
11242 t  alter
11243 h  always
11243 t  amateur
11244 h  amazing
11244 t  among
11311 h  amount
11311 t  amused
11312 h  analyst
11312 t  anchor
11313 h  ancient
11313 t  anger
11314 h  angle
11314 t  angry
11321 h  animal
11321 t  ankle
11322 h  announce
11322 t  annual
11323 h  another
11323 t  answer
11324 h  antenna
11324 t  antique
11331 h  anxiety
11331 t  any
11332 h  apart
11332 t  apology
11333 h  appear
11333 t  apple
11334 h  approve
11334 t  april
11341 h  arch
11341 t  arctic
11342 h  area
11342 t  arena
11343 h  argue
11343 t  arm
11344 h  armed
11344 t  armor
11411 h  army
11411 t  around
11412 h  arrange
11412 t  arrest
11413 h  arrive
11413 t  arrow
11414 h  art
11414 t  artefact
11421 h  artist
11421 t  artwork
11422 h  ask
11422 t  aspect
11423 h  assault
11423 t  asset
11424 h  assist
11424 t  assume
11431 h  asthma
11431 t  athlete
11432 h  atom
11432 t  attack
11433 h  attend
11433 t  attitude
11434 h  attract
11434 t  auction
11441 h  audit
11441 t  august
11442 h  aunt
11442 t  author
11443 h  auto
11443 t  autumn
11444 h  average
11444 t  avocado
12111 h  avoid
12111 t  awake
12112 h  aware
12112 t  away
12113 h  awesome
12113 t  awful
12114 h  awkward
12114 t  axis
12121 h  baby
12121 t  bachelor
12122 h  bacon
12122 t  badge
12123 h  bag
12123 t  balance
12124 h  balcony
12124 t  ball
12131 h  bamboo
12131 t  banana
12132 h  banner
12132 t  bar
12133 h  barely
12133 t  bargain
12134 h  barrel
12134 t  base
12141 h  basic
12141 t  basket
12142 h  battle
12142 t  beach
12143 h  bean
12143 t  beauty
12144 h  because
12144 t  become
12211 h  beef
12211 t  before
12212 h  begin
12212 t  behave
12213 h  behind
12213 t  believe
12214 h  below
12214 t  belt
12221 h  bench
12221 t  benefit
12222 h  best
12222 t  betray
12223 h  better
12223 t  between
12224 h  beyond
12224 t  bicycle
12231 h  bid
12231 t  bike
12232 h  bind
12232 t  biology
12233 h  bird
12233 t  birth
12234 h  bitter
12234 t  black
12241 h  blade
12241 t  blame
12242 h  blanket
12242 t  blast
12243 h  bleak
12243 t  bless
12244 h  blind
12244 t  blood
12311 h  blossom
12311 t  blouse
12312 h  blue
12312 t  blur
12313 h  blush
12313 t  board
12314 h  boat
12314 t  body
12321 h  boil
12321 t  bomb
12322 h  bone
12322 t  bonus
12323 h  book
12323 t  boost
12324 h  border
12324 t  boring
12331 h  borrow
12331 t  boss
12332 h  bottom
12332 t  bounce
12333 h  box
12333 t  boy
12334 h  bracket
12334 t  brain
12341 h  brand
12341 t  brass
12342 h  brave
12342 t  bread
12343 h  breeze
12343 t  brick
12344 h  bridge
12344 t  brief
12411 h  bright
12411 t  bring
12412 h  brisk
12412 t  broccoli
12413 h  broken
12413 t  bronze
12414 h  broom
12414 t  brother
12421 h  brown
12421 t  brush
12422 h  bubble
12422 t  buddy
12423 h  budget
12423 t  buffalo
12424 h  build
12424 t  bulb
12431 h  bulk
12431 t  bullet
12432 h  bundle
12432 t  bunker
12433 h  burden
12433 t  burger
12434 h  burst
12434 t  bus
12441 h  business
12441 t  busy
12442 h  butter
12442 t  buyer
12443 h  buzz
12443 t  cabbage
12444 h  cabin
12444 t  cable
13111 h  cactus
13111 t  cage
13112 h  cake
13112 t  call
13113 h  calm
13113 t  camera
13114 h  camp
13114 t  can
13121 h  canal
13121 t  cancel
13122 h  candy
13122 t  cannon
13123 h  canoe
13123 t  canvas
13124 h  canyon
13124 t  capable
13131 h  capital
13131 t  captain
13132 h  car
13132 t  carbon
13133 h  card
13133 t  cargo
13134 h  carpet
13134 t  carry
13141 h  cart
13141 t  case
13142 h  cash
13142 t  casino
13143 h  castle
13143 t  casual
13144 h  cat
13144 t  catalog
13211 h  catch
13211 t  category
13212 h  cattle
13212 t  caught
13213 h  cause
13213 t  caution
13214 h  cave
13214 t  ceiling
13221 h  celery
13221 t  cement
13222 h  census
13222 t  century
13223 h  cereal
13223 t  certain
13224 h  chair
13224 t  chalk
13231 h  champion
13231 t  change
13232 h  chaos
13232 t  chapter
13233 h  charge
13233 t  chase
13234 h  chat
13234 t  cheap
13241 h  check
13241 t  cheese
13242 h  chef
13242 t  cherry
13243 h  chest
13243 t  chicken
13244 h  chief
13244 t  child
13311 h  chimney
13311 t  choice
13312 h  choose
13312 t  chronic
13313 h  chuckle
13313 t  chunk
13314 h  churn
13314 t  cigar
13321 h  cinnamon
13321 t  circle
13322 h  citizen
13322 t  city
13323 h  civil
13323 t  claim
13324 h  clap
13324 t  clarify
13331 h  claw
13331 t  clay
13332 h  clean
13332 t  clerk
13333 h  clever
13333 t  click
13334 h  client
13334 t  cliff
13341 h  climb
13341 t  clinic
13342 h  clip
13342 t  clock
13343 h  clog
13343 t  close
13344 h  cloth
13344 t  cloud
13411 h  clown
13411 t  club
13412 h  clump
13412 t  cluster
13413 h  clutch
13413 t  coach
13414 h  coast
13414 t  coconut
13421 h  code
13421 t  coffee
13422 h  coil
13422 t  coin
13423 h  collect
13423 t  color
13424 h  column
13424 t  combine
13431 h  come
13431 t  comfort
13432 h  comic
13432 t  common
13433 h  company
13433 t  concert
13434 h  conduct
13434 t  confirm
13441 h  congress
13441 t  connect
13442 h  consider
13442 t  control
13443 h  convince
13443 t  cook
13444 h  cool
13444 t  copper
14111 h  copy
14111 t  coral
14112 h  core
14112 t  corn
14113 h  correct
14113 t  cost
14114 h  cotton
14114 t  couch
14121 h  country
14121 t  couple
14122 h  course
14122 t  cousin
14123 h  cover
14123 t  coyote
14124 h  crack
14124 t  cradle
14131 h  craft
14131 t  cram
14132 h  crane
14132 t  crash
14133 h  crater
14133 t  crawl
14134 h  crazy
14134 t  cream
14141 h  credit
14141 t  creek
14142 h  crew
14142 t  cricket
14143 h  crime
14143 t  crisp
14144 h  critic
14144 t  crop
14211 h  cross
14211 t  crouch
14212 h  crowd
14212 t  crucial
14213 h  cruel
14213 t  cruise
14214 h  crumble
14214 t  crunch
14221 h  crush
14221 t  cry
14222 h  crystal
14222 t  cube
14223 h  culture
14223 t  cup
14224 h  cupboard
14224 t  curious
14231 h  current
14231 t  curtain
14232 h  curve
14232 t  cushion
14233 h  custom
14233 t  cute
14234 h  cycle
14234 t  dad
14241 h  damage
14241 t  damp
14242 h  dance
14242 t  danger
14243 h  daring
14243 t  dash
14244 h  daughter
14244 t  dawn
14311 h  day
14311 t  deal
14312 h  debate
14312 t  debris
14313 h  decade
14313 t  december
14314 h  decide
14314 t  decline
14321 h  decorate
14321 t  decrease
14322 h  deer
14322 t  defense
14323 h  define
14323 t  defy
14324 h  degree
14324 t  delay
14331 h  deliver
14331 t  demand
14332 h  demise
14332 t  denial
14333 h  dentist
14333 t  deny
14334 h  depart
14334 t  depend
14341 h  deposit
14341 t  depth
14342 h  deputy
14342 t  derive
14343 h  describe
14343 t  desert
14344 h  design
14344 t  desk
14411 h  despair
14411 t  destroy
14412 h  detail
14412 t  detect
14413 h  develop
14413 t  device
14414 h  devote
14414 t  diagram
14421 h  dial
14421 t  diamond
14422 h  diary
14422 t  dice
14423 h  diesel
14423 t  diet
14424 h  differ
14424 t  digital
14431 h  dignity
14431 t  dilemma
14432 h  dinner
14432 t  dinosaur
14433 h  direct
14433 t  dirt
14434 h  disagree
14434 t  discover
14441 h  disease
14441 t  dish
14442 h  dismiss
14442 t  disorder
14443 h  display
14443 t  distance
14444 h  divert
14444 t  divide
21111 h  divorce
21111 t  dizzy
21112 h  doctor
21112 t  document
21113 h  dog
21113 t  doll
21114 h  dolphin
21114 t  domain
21121 h  donate
21121 t  donkey
21122 h  donor
21122 t  door
21123 h  dose
21123 t  double
21124 h  dove
21124 t  draft
21131 h  dragon
21131 t  drama
21132 h  drastic
21132 t  draw
21133 h  dream
21133 t  dress
21134 h  drift
21134 t  drill
21141 h  drink
21141 t  drip
21142 h  drive
21142 t  drop
21143 h  drum
21143 t  dry
21144 h  duck
21144 t  dumb
21211 h  dune
21211 t  during
21212 h  dust
21212 t  dutch
21213 h  duty
21213 t  dwarf
21214 h  dynamic
21214 t  eager
21221 h  eagle
21221 t  early
21222 h  earn
21222 t  earth
21223 h  easily
21223 t  east
21224 h  easy
21224 t  echo
21231 h  ecology
21231 t  economy
21232 h  edge
21232 t  edit
21233 h  educate
21233 t  effort
21234 h  egg
21234 t  eight
21241 h  either
21241 t  elbow
21242 h  elder
21242 t  electric
21243 h  elegant
21243 t  element
21244 h  elephant
21244 t  elevator
21311 h  elite
21311 t  else
21312 h  embark
21312 t  embody
21313 h  embrace
21313 t  emerge
21314 h  emotion
21314 t  employ
21321 h  empower
21321 t  empty
21322 h  enable
21322 t  enact
21323 h  end
21323 t  endless
21324 h  endorse
21324 t  enemy
21331 h  energy
21331 t  enforce
21332 h  engage
21332 t  engine
21333 h  enhance
21333 t  enjoy
21334 h  enlist
21334 t  enough
21341 h  enrich
21341 t  enroll
21342 h  ensure
21342 t  enter
21343 h  entire
21343 t  entry
21344 h  envelope
21344 t  episode
21411 h  equal
21411 t  equip
21412 h  era
21412 t  erase
21413 h  erode
21413 t  erosion
21414 h  error
21414 t  erupt
21421 h  escape
21421 t  essay
21422 h  essence
21422 t  estate
21423 h  eternal
21423 t  ethics
21424 h  evidence
21424 t  evil
21431 h  evoke
21431 t  evolve
21432 h  exact
21432 t  example
21433 h  excess
21433 t  exchange
21434 h  excite
21434 t  exclude
21441 h  excuse
21441 t  execute
21442 h  exercise
21442 t  exhaust
21443 h  exhibit
21443 t  exile
21444 h  exist
21444 t  exit
22111 h  exotic
22111 t  expand
22112 h  expect
22112 t  expire
22113 h  explain
22113 t  expose
22114 h  express
22114 t  extend
22121 h  extra
22121 t  eye
22122 h  eyebrow
22122 t  fabric
22123 h  face
22123 t  faculty
22124 h  fade
22124 t  faint
22131 h  faith
22131 t  fall
22132 h  false
22132 t  fame
22133 h  family
22133 t  famous
22134 h  fan
22134 t  fancy
22141 h  fantasy
